season,team1,team2,winner,win_by_runs,win_by_wickets,venue,toss_winner,toss_decision,player_of_match
2011,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,0,2,Chinnaswamy Stadium,Delhi Capitals,field,Player37
2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0,9,Wankhede Stadium,Mumbai Indians,field,Player4
2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,61,0,Feroz Shah Kotla,Kolkata Knight Riders,field,Player6
2011,Rajasthan Royals,Punjab Kings,Punjab Kings,0,2,Wankhede Stadium,Rajasthan Royals,field,Player4
2011,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,54,0,Feroz Shah Kotla,Royal Challengers Bangalore,bat,Player46
2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,90,0,Wankhede Stadium,Chennai Super Kings,field,Player3
2011,Punjab Kings,Delhi Capitals,Punjab Kings,54,0,Wankhede Stadium,Punjab Kings,bat,Player20
2011,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,35,0,MA Chidambaram Stadium,Mumbai Indians,field,Player17
2011,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,13,0,Feroz Shah Kotla,Punjab Kings,bat,Player9
2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0,9,Eden Gardens,Kolkata Knight Riders,field,Player29
2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,9,Wankhede Stadium,Mumbai Indians,bat,Player34
2011,Punjab Kings,Kolkata Knight Riders,Punjab Kings,0,8,Eden Gardens,Punjab Kings,field,Player26
2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,5,Feroz Shah Kotla,Chennai Super Kings,field,Player40
2011,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,58,0,Eden Gardens,Rajasthan Royals,field,Player34
2011,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,33,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Player16
2011,Punjab Kings,Kolkata Knight Riders,Punjab Kings,59,0,Wankhede Stadium,Punjab Kings,bat,Player45
2011,Mumbai Indians,Delhi Capitals,Delhi Capitals,0,6,Chinnaswamy Stadium,Mumbai Indians,bat,Player43
2011,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,31,0,MA Chidambaram Stadium,Chennai Super Kings,field,Player43
2011,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,82,0,Chinnaswamy Stadium,Rajasthan Royals,field,Player13
2011,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,Wankhede Stadium,Sunrisers Hyderabad,field,Player31
2011,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,3,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player7
2011,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,5,Feroz Shah Kotla,Mumbai Indians,field,Player20
2011,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,1,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player10
2011,Delhi Capitals,Mumbai Indians,Mumbai Indians,0,8,Eden Gardens,Mumbai Indians,field,Player14
2011,Punjab Kings,Rajasthan Royals,Punjab Kings,0,4,Eden Gardens,Punjab Kings,field,Player12
2011,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,6,0,Eden Gardens,Rajasthan Royals,field,Player23
2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,4,Wankhede Stadium,Chennai Super Kings,bat,Player41
2011,Rajasthan Royals,Punjab Kings,Rajasthan Royals,29,0,Eden Gardens,Punjab Kings,field,Player2
2011,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,3,Wankhede Stadium,Delhi Capitals,field,Player28
2011,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,5,Eden Gardens,Delhi Capitals,field,Player19
2011,Mumbai Indians,Delhi Capitals,Mumbai Indians,1,0,MA Chidambaram Stadium,Delhi Capitals,field,Player15
2011,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,0,1,Wankhede Stadium,Delhi Capitals,field,Player18
2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,72,0,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player17
2012,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,27,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player7
2012,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,0,5,Chinnaswamy Stadium,Delhi Capitals,bat,Player20
2012,Delhi Capitals,Punjab Kings,Delhi Capitals,0,7,Wankhede Stadium,Punjab Kings,field,Player20
2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,9,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player2
2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,81,0,Feroz Shah Kotla,Royal Challengers Bangalore,field,Player18
2012,Delhi Capitals,Punjab Kings,Delhi Capitals,0,9,Wankhede Stadium,Punjab Kings,field,Player41
2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,88,0,Wankhede Stadium,Punjab Kings,field,Player46
2012,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,6,Chinnaswamy Stadium,Rajasthan Royals,bat,Player10
2012,Punjab Kings,Chennai Super Kings,Chennai Super Kings,2,0,Wankhede Stadium,Punjab Kings,bat,Player13
2012,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,6,MA Chidambaram Stadium,Mumbai Indians,bat,Player26
2012,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,98,0,MA Chidambaram Stadium,Delhi Capitals,field,Player49
2012,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,6,0,Wankhede Stadium,Royal Challengers Bangalore,bat,Player39
2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,8,MA Chidambaram Stadium,Mumbai Indians,field,Player20
2012,Delhi Capitals,Punjab Kings,Delhi Capitals,7,0,Eden Gardens,Punjab Kings,field,Player4
2012,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,3,Wankhede Stadium,Chennai Super Kings,field,Player14
2012,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,7,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player45
2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,45,0,Feroz Shah Kotla,Royal Challengers Bangalore,bat,Player32
2012,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0,2,Eden Gardens,Sunrisers Hyderabad,bat,Player32
2012,Punjab Kings,Mumbai Indians,Punjab Kings,28,0,MA Chidambaram Stadium,Punjab Kings,bat,Player29
2012,Delhi Capitals,Punjab Kings,Delhi Capitals,7,0,Chinnaswamy Stadium,Delhi Capitals,field,Player21
2012,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,4,Feroz Shah Kotla,Chennai Super Kings,field,Player44
2012,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,0,2,Wankhede Stadium,Delhi Capitals,field,Player41
2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,4,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player36
2012,Delhi Capitals,Punjab Kings,Punjab Kings,58,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player3
2012,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,15,0,Wankhede Stadium,Sunrisers Hyderabad,field,Player8
2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0,2,Feroz Shah Kotla,Kolkata Knight Riders,field,Player45
2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,8,Wankhede Stadium,Rajasthan Royals,field,Player39
2012,Delhi Capitals,Mumbai Indians,Delhi Capitals,28,0,MA Chidambaram Stadium,Delhi Capitals,bat,Player5
2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,8,Chinnaswamy Stadium,Rajasthan Royals,bat,Player47
2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,14,0,MA Chidambaram Stadium,Rajasthan Royals,field,Player12
2012,Delhi Capitals,Mumbai Indians,Delhi Capitals,20,0,Eden Gardens,Mumbai Indians,bat,Player20
2012,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,47,0,Feroz Shah Kotla,Mumbai Indians,bat,Player49
2012,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,Chinnaswamy Stadium,Mumbai Indians,bat,Player20
2012,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,37,0,Chinnaswamy Stadium,Rajasthan Royals,bat,Player1
2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,59,0,Feroz Shah Kotla,Rajasthan Royals,bat,Player14
2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,88,0,Eden Gardens,Kolkata Knight Riders,field,Player34
2012,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,39,0,Eden Gardens,Royal Challengers Bangalore,bat,Player44
2012,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,0,4,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player8
2012,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,8,0,Feroz Shah Kotla,Delhi Capitals,field,Player5
2012,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,0,1,MA Chidambaram Stadium,Rajasthan Royals,field,Player30
2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,8,Wankhede Stadium,Royal Challengers Bangalore,bat,Player8
2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,1,0,Eden Gardens,Mumbai Indians,field,Player14
2012,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,2,MA Chidambaram Stadium,Delhi Capitals,field,Player9
2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0,9,Feroz Shah Kotla,Mumbai Indians,bat,Player41
2012,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,4,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Player34
2012,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,83,0,Feroz Shah Kotla,Chennai Super Kings,bat,Player24
2012,Delhi Capitals,Rajasthan Royals,Delhi Capitals,85,0,Wankhede Stadium,Rajasthan Royals,field,Player7
2012,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0,9,Wankhede Stadium,Rajasthan Royals,field,Player49
2012,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0,3,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player2
2012,Delhi Capitals,Mumbai Indians,Delhi Capitals,26,0,MA Chidambaram Stadium,Mumbai Indians,field,Player29
2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,98,0,Feroz Shah Kotla,Chennai Super Kings,field,Player36
2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,70,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Player43
2012,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,80,0,Feroz Shah Kotla,Delhi Capitals,bat,Player25
2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,68,0,Feroz Shah Kotla,Kolkata Knight Riders,field,Player19
2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,5,Chinnaswamy Stadium,Rajasthan Royals,bat,Player29
2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0,4,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player49
2012,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,94,0,Eden Gardens,Sunrisers Hyderabad,bat,Player44
2012,Chennai Super Kings,Punjab Kings,Chennai Super Kings,71,0,Wankhede Stadium,Punjab Kings,bat,Player42
2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,6,Rajiv Gandhi Stadium,Punjab Kings,field,Player45
2012,Chennai Super Kings,Punjab Kings,Chennai Super Kings,22,0,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player28
2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,10,0,MA Chidambaram Stadium,Mumbai Indians,bat,Player42
2013,Punjab Kings,Mumbai Indians,Mumbai Indians,37,0,Chinnaswamy Stadium,Mumbai Indians,field,Player19
2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0,9,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player10
2013,Mumbai Indians,Punjab Kings,Punjab Kings,47,0,Wankhede Stadium,Mumbai Indians,field,Player34
2013,Mumbai Indians,Punjab Kings,Mumbai Indians,22,0,Feroz Shah Kotla,Mumbai Indians,bat,Player28
2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,78,0,Feroz Shah Kotla,Rajasthan Royals,bat,Player25
2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,18,0,Eden Gardens,Kolkata Knight Riders,field,Player39
2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,24,0,Chinnaswamy Stadium,Chennai Super Kings,bat,Player4
2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,7,Feroz Shah Kotla,Rajasthan Royals,field,Player40
2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,73,0,Wankhede Stadium,Sunrisers Hyderabad,field,Player41
2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,60,0,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player44
2013,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,0,8,MA Chidambaram Stadium,Royal Challengers Bangalore,field,Player44
2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,6,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player2
2013,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,7,Rajiv Gandhi Stadium,Mumbai Indians,field,Player22
2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,77,0,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player16
2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,55,0,Chinnaswamy Stadium,Chennai Super Kings,field,Player12
2013,Punjab Kings,Kolkata Knight Riders,Punjab Kings,0,7,Chinnaswamy Stadium,Punjab Kings,field,Player5
2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,30,0,Feroz Shah Kotla,Sunrisers Hyderabad,field,Player22
2013,Chennai Super Kings,Punjab Kings,Punjab Kings,16,0,Chinnaswamy Stadium,Punjab Kings,field,Player34
2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,23,0,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player41
2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,73,0,Wankhede Stadium,Sunrisers Hyderabad,bat,Player23
2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6,0,Eden Gardens,Sunrisers Hyderabad,bat,Player15
2013,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,0,1,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player45
2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0,6,Eden Gardens,Rajasthan Royals,bat,Player14
2013,Mumbai Indians,Punjab Kings,Mumbai Indians,66,0,Eden Gardens,Punjab Kings,bat,Player18
2013,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,0,9,MA Chidambaram Stadium,Delhi Capitals,bat,Player33
2013,Kolkata Knight Riders,Punjab Kings,Punjab Kings,80,0,Rajiv Gandhi Stadium,Punjab Kings,bat,Player3
2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,13,0,Feroz Shah Kotla,Mumbai Indians,field,Player21
2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,68,0,Feroz Shah Kotla,Sunrisers Hyderabad,field,Player32
2013,Punjab Kings,Kolkata Knight Riders,Punjab Kings,78,0,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player6
2013,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,0,2,Chinnaswamy Stadium,Punjab Kings,bat,Player31
2013,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,0,9,MA Chidambaram Stadium,Delhi Capitals,bat,Player31
2013,Punjab Kings,Rajasthan Royals,Punjab Kings,83,0,Wankhede Stadium,Punjab Kings,bat,Player9
2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,7,0,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player4
2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,52,0,Feroz Shah Kotla,Mumbai Indians,field,Player38
2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,63,0,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Player35
2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,7,Feroz Shah Kotla,Rajasthan Royals,field,Player5
2013,Delhi Capitals,Punjab Kings,Punjab Kings,0,5,Rajiv Gandhi Stadium,Punjab Kings,bat,Player21
2013,Chennai Super Kings,Punjab Kings,Punjab Kings,0,7,Feroz Shah Kotla,Chennai Super Kings,bat,Player21
2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,53,0,MA Chidambaram Stadium,Chennai Super Kings,bat,Player32
2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,60,0,Eden Gardens,Kolkata Knight Riders,bat,Player26
2013,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,0,2,Eden Gardens,Delhi Capitals,bat,Player29
2013,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0,1,Wankhede Stadium,Chennai Super Kings,bat,Player9
2013,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,1,MA Chidambaram Stadium,Chennai Super Kings,field,Player40
2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,34,0,Eden Gardens,Kolkata Knight Riders,field,Player49
2013,Rajasthan Royals,Mumbai Indians,Mumbai Indians,88,0,Feroz Shah Kotla,Rajasthan Royals,bat,Player32
2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,8,0,Feroz Shah Kotla,Mumbai Indians,bat,Player23
2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,24,0,Eden Gardens,Mumbai Indians,bat,Player5
2013,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,0,4,Eden Gardens,Delhi Capitals,bat,Player19
2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,58,0,Feroz Shah Kotla,Rajasthan Royals,field,Player32
2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,96,0,Chinnaswamy Stadium,Punjab Kings,bat,Player8
2013,Punjab Kings,Mumbai Indians,Punjab Kings,0,2,Eden Gardens,Punjab Kings,field,Player4
2013,Delhi Capitals,Mumbai Indians,Delhi Capitals,62,0,MA Chidambaram Stadium,Mumbai Indians,bat,Player36
2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,Feroz Shah Kotla,Kolkata Knight Riders,field,Player31
2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,10,0,Wankhede Stadium,Kolkata Knight Riders,field,Player9
2013,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,9,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player30
2013,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,0,3,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player21
2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,7,Wankhede Stadium,Chennai Super Kings,bat,Player47
2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,0,5,Rajiv Gandhi Stadium,Delhi Capitals,field,Player40
2013,Delhi Capitals,Punjab Kings,Delhi Capitals,0,6,Rajiv Gandhi Stadium,Delhi Capitals,bat,Player22
2014,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,2,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player27
2014,Chennai Super Kings,Punjab Kings,Chennai Super Kings,23,0,Chinnaswamy Stadium,Chennai Super Kings,field,Player43
2014,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,3,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player29
2014,Delhi Capitals,Punjab Kings,Punjab Kings,25,0,Feroz Shah Kotla,Delhi Capitals,field,Player42
2014,Chennai Super Kings,Mumbai Indians,Mumbai Indians,3,0,Wankhede Stadium,Mumbai Indians,field,Player35
2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,89,0,MA Chidambaram Stadium,Punjab Kings,field,Player46
2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,9,Feroz Shah Kotla,Rajasthan Royals,field,Player36
2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,6,Chinnaswamy Stadium,Delhi Capitals,field,Player14
2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,20,0,Eden Gardens,Royal Challengers Bangalore,bat,Player31
2014,Rajasthan Royals,Delhi Capitals,Delhi Capitals,58,0,Chinnaswamy Stadium,Rajasthan Royals,bat,Player4
2014,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,3,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player21
2014,Delhi Capitals,Punjab Kings,Delhi Capitals,0,6,Rajiv Gandhi Stadium,Punjab Kings,field,Player45
2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,4,0,Feroz Shah Kotla,Mumbai Indians,bat,Player24
2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,4,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player30
2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0,3,Wankhede Stadium,Chennai Super Kings,field,Player19
2014,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,Feroz Shah Kotla,Delhi Capitals,field,Player19
2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,7,Wankhede Stadium,Punjab Kings,bat,Player18
2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,92,0,Eden Gardens,Rajasthan Royals,bat,Player45
2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,4,Eden Gardens,Mumbai Indians,field,Player47
2014,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,9,0,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player10
2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,94,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player6
2014,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,19,0,MA Chidambaram Stadium,Mumbai Indians,field,Player26
2014,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,0,5,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player10
2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,4,Rajiv Gandhi Stadium,Punjab Kings,bat,Player35
2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,9,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player44
2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,8,Wankhede Stadium,Mumbai Indians,bat,Player30
2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,6,Chinnaswamy Stadium,Punjab Kings,bat,Player28
2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,6,MA Chidambaram Stadium,Delhi Capitals,bat,Player6
2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,8,Eden Gardens,Mumbai Indians,field,Player43
2014,Mumbai Indians,Delhi Capitals,Delhi Capitals,0,1,Eden Gardens,Mumbai Indians,field,Player15
2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,7,Feroz Shah Kotla,Kolkata Knight Riders,field,Player44
2014,Punjab Kings,Delhi Capitals,Punjab Kings,58,0,Feroz Shah Kotla,Delhi Capitals,bat,Player3
2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,1,Eden Gardens,Rajasthan Royals,bat,Player21
2014,Punjab Kings,Kolkata Knight Riders,Punjab Kings,41,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player4
2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,86,0,Wankhede Stadium,Rajasthan Royals,field,Player34
2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,39,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player34
2014,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,0,1,MA Chidambaram Stadium,Delhi Capitals,bat,Player2
2014,Delhi Capitals,Mumbai Indians,Mumbai Indians,0,2,Eden Gardens,Delhi Capitals,bat,Player22
2014,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,3,Eden Gardens,Kolkata Knight Riders,bat,Player32
2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,0,4,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player15
2014,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,0,4,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player41
2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,0,1,MA Chidambaram Stadium,Punjab Kings,field,Player3
2014,Punjab Kings,Kolkata Knight Riders,Punjab Kings,0,4,Eden Gardens,Kolkata Knight Riders,bat,Player23
2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,19,0,Feroz Shah Kotla,Mumbai Indians,bat,Player12
2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,36,0,Feroz Shah Kotla,Chennai Super Kings,field,Player9
2014,Rajasthan Royals,Punjab Kings,Punjab Kings,0,8,MA Chidambaram Stadium,Punjab Kings,field,Player20
2014,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,80,0,Eden Gardens,Delhi Capitals,bat,Player27
2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,1,Chinnaswamy Stadium,Chennai Super Kings,bat,Player8
2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,4,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player19
2014,Punjab Kings,Mumbai Indians,Mumbai Indians,46,0,Wankhede Stadium,Punjab Kings,bat,Player21
2014,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,MA Chidambaram Stadium,Delhi Capitals,bat,Player27
2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,68,0,Wankhede Stadium,Mumbai Indians,field,Player26
2014,Delhi Capitals,Rajasthan Royals,Delhi Capitals,61,0,Chinnaswamy Stadium,Delhi Capitals,bat,Player38
2014,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,9,Eden Gardens,Rajasthan Royals,bat,Player44
2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,2,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player28
2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,28,0,MA Chidambaram Stadium,Chennai Super Kings,bat,Player21
2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,51,0,MA Chidambaram Stadium,Sunrisers Hyderabad,bat,Player23
